,id,name,party
122,88385,Mizanur Rahman,Conservative and Unionist Party
123,38474,Saima Ashraf,Labour Party
124,124430,Curtis Cooper,Green Party
125,125572,Ahad Hossain,Conservative and Unionist Party
126,37202,Giasuddin Miah,Labour Party
127,125573,Rasel Miha,Conservative and Unionist Party
128,124764,Khawar Rizwan Nasim,Green Party
129,124763,Aiden Nicholls,Green Party
130,125574,Shibli Rahman,Conservative and Unionist Party
131,108875,Summya Sohaib,Labour Party
132,125667,Alexandra Arnautu,Reform UK
133,126571,Taiwo Bodunrin,Green Party
134,125668,Billy Edmunds,Reform UK
135,125576,Md Meraj Hossain,Conservative and Unionist Party
136,126452,Syful Islam,Green Party
137,124870,Robert James Jones,Labour Party
138,38835,Elizabeth Kangethe,Labour Party
139,125577,Chika Nwokorie,Conservative and Unionist Party
140,125578,Sonjoy Kumar Roy,Conservative and Unionist Party
141,125669,Ripon Sheikh,Reform UK
142,125579,Comfort Adegbulugbe,Conservative and Unionist Party
143,7998,Andrew Boff,Conservative and Unionist Party
144,124765,Emma Louise Grove,Green Party
145,122909,Lucy Sara Lee,Labour Party
146,122944,Paul David Powlesland,Green Party
147,76814,Sabbir Zamee,Labour Party
148,125596,Mark Akindeko,Conservative and Unionist Party
149,125670,Kim Barti,Reform UK
150,126574,Saqib Bashir,Green Party
151,38827,Syed Feroz Ghani,Labour Party
152,125671,Barb Gibbs,Reform UK
153,38828,Jane Elizabeth Jones,Labour Party
154,125594,Vivien Ojo,Conservative and Unionist Party
155,125672,Mavis Oti Boakye,Reform UK
156,125595,Goodluck Nonye Uba,Conservative and Unionist Party
157,125580,Sheikh Mostak Ahmed,Conservative and Unionist Party
158,3003,Arinola Ibiyemi Araba,Conservative and Unionist Party
159,118268,Ajanta Deb Roy,Labour Party
160,118260,Graham Gosling,Conservative and Unionist Party
161,125673,Del Hunter,Reform UK
162,125674,Marina Sanduleac,Reform UK
163,125675,Michael David Smith,Reform UK
164,38844,Phil Waker,Labour Party
165,118269,Julia Williams,Labour Party
166,38845,Andrew Achilleos,Labour Party
167,38095,Ada Emeka Echedom,Conservative and Unionist Party
168,125581,Kenneth Okechukwu Odunze,Conservative and Unionist Party
169,125582,Dixant Patel,Conservative and Unionist Party
170,118464,Rubina Siddiqui,Labour Party
171,88894,Mukhtar Yusuf,Labour Party
172,88564,Sue Baker,Labour Party
173,43662,Simon Cohen,Liberal Democrats
174,135846,Mark Devey,Green Party
175,125691,Mark Francis,Reform UK
176,124128,Elmina Homapour,Conservative and Unionist Party
177,46322,David Longstaff,Conservative and Unionist Party
178,19438,Duncan MacDonald,Liberal Democrats
179,125698,Uri Mofsowitz,Reform UK
180,124148,Mukesh Oza,Labour Party
181,6430,Tom Smith,Conservative and Unionist Party
182,46325,Julian Teare,Reform UK
183,125388,Chris Johnstone,Reform UK
184,35968,Paul David Lemon,Labour Party
185,84639,Giulia Monasterio,Labour Party
186,125389,Robert Pinfold,Reform UK
187,36355,Lewis Preston-Kyrionymou,Conservative and Unionist Party
188,124130,Suren Ramanakumar,Conservative and Unionist Party
189,38916,Lisa Rutter,Reform UK
190,84640,Tony Vourou,Labour Party
191,47145,Gabrielle Louise Bailey,Green Party
192,38942,Sara Conway,Labour Party
193,88658,Charlotte Elizabeth Daus,Labour Party
194,125703,Gary Gadston,Reform UK
195,39989,Kamal Bahadur Gurung,Labour Party
196,135963,David William Kitchen,Liberal Democrats
197,124142,Anthony Mace,Reform UK
198,34889,Ahmereen Reza,Conservative and Unionist Party
199,125787,Oliver Segal,Reform UK
200,135966,Daniel Paul Vulkan,Green Party
201,125601,Christopher Bosworth,Reform UK
202,124131,Jeremy Charles Conway,Conservative and Unionist Party
203,39099,Adam Gheasuddin,Conservative and Unionist Party
204,136623,Daniel Higgins Graham,Green Party
205,124149,Noam Herberg,Labour Party
206,88616,Sue Hoffman-Waller,Labour Party
207,36719,Sarah Hoyle,Liberal Democrats
208,125679,Patrick Leonard,Reform UK
209,84643,Matthew Perlberg,Labour Party
210,37017,Donna Joanne Pickup,Liberal Democrats
211,124132,Cory Turner,Conservative and Unionist Party
212,125676,Nicky Verra,Reform UK
213,136626,Daniel Yilmaz,Liberal Democrats
214,125709,Reza Haez,Reform UK
215,47141,Andreas Ioannidis,Labour Party
216,125708,Paolo Negretti,Reform UK
217,125713,Susanne Hannington,Reform UK
218,46716,Humayune Khalick,Labour Party
219,38967,Nagus Narenthira,Labour Party
220,125714,Mohsen Ojany,Reform UK
221,38968,Gill Sargeant,Labour Party
222,136113,Tanya Georgina Solomon,Conservative and Unionist Party
223,124141,Marek Vojcik,Reform UK
224,125431,Richard Bruce,Reform UK
225,35955,Anne Clarke,Labour Party
226,125716,Jamie Dawood,Reform UK
227,47167,Alan Schneiderman,Labour Party
228,136978,Roger Aitken,Liberal Democrats
229,125385,Constantine Alexandrou,Reform UK
230,41349,David Arthur Allen,Conservative and Unionist Party
231,35961,Phil Cohen,Labour Party
232,84682,Edith Ngozi David,Labour Party
233,47164,Karl Khan,Reform UK
234,124145,Dima Ouda,Reform UK
235,84683,Simon Radford,Labour Party
236,38980,Anila Skeja,Conservative and Unionist Party
237,136836,Nana Adu-Poku,Green Party
238,125718,Daniel Brindusescu,Reform UK
239,125746,Melvin Haskins,Reform UK
240,88470,Julia Hines,Liberal Democrats
241,125747,Paresh Harvind Kiri,Reform UK
242,136839,Thomas John Charlton Mason,Green Party
243,3165,Alison Moore,Labour Party
244,88473,Steve Parsons,Green Party
245,35909,Sachin Patel,Liberal Democrats
246,125749,Anita Dunner,Reform UK
247,125750,Derek French,Reform UK
248,88531,Shuey Gordon,Conservative and Unionist Party
249,35964,Kathleen Levine,Labour Party
250,74040,Nick Mearing-Smith,Conservative and Unionist Party
251,125748,Michael Sims,Reform UK
252,88533,Lucy Emma Wakeley,Conservative and Unionist Party
